Major,Early Career Pay,MidCareer Pay,Percentage High Meaning
Advertising & Marketing Communications,54900,99200,38
Entomology,49900,99200,
Product Design Engineering,73500,99100,41
Personal Financial Planning,60400,99000,60
Biological Sciences,56400,98900,68
Prelaw,52900,98900,50
Textile Technology,60400,98800,37
Strategic Communication,52900,98700,42
Technology,63200,98700,
Environmental Science,55800,98600,61
International Studies,56200,98500,50
Cinema Studies,53200,98300,37
Professional & Technical Writing,54800,98200,47
Automotive Technology,55400,97800,52
New Media Design,63100,97700,28
Theatre & Drama Studies,53100,97700,50
Information Systems Security,64800,97700,47
Aviation Maintenance Technology,57300,97500,60
Organizational Development,60800,97500,55
Financial Management,62700,97400,53
International Trade & Business,61500,97400,29
Textile & Apparel Studies,53300,97400,25
Toxicology,53900,97400,
Construction Engineering Technology,63800,97200,60
Advertising & Marketing,55200,97100,38
English Literature,53800,97100,46
Advertising & Promotion,53400,97000,46
Agricultural Science,53800,96900,55
Fashion Design,53900,96900,27
Hydrology,53400,96900,
Technical Management,72300,96800,66
Electronics & Computer Technology,60500,96600,
French Studies,59000,96500,58
Magazine Journalism,54300,96500,37
Management,58100,96500,49
Sociology & Organizational Studies,61400,96500,55
International Affairs,58300,96300,51
Business Administration,60200,96300,51
Finance & Marketing,67800,96200,41
Land Surveying,58200,96200,56
Journalism & Mass Communication,52800,96100,44
Business Management,58700,95900,52
Speech & Drama,45100,95900,
Agribusiness Management,58700,95600,43
Digital Media,52000,95600,38
Drama,55600,95500,43
Linguistics,58600,95500,42
Architectural Engineering Technology,56800,95400,49
General Science,56300,95400,58
PreMedicine,57200,95300,69
Business Administration & Accounting,59500,95200,54
History & Politics,55300,95200,58
Nursing Science,75600,95200,84
Global Business,62000,95100,31
Integrated Marketing Communications,53500,95100,38
American History (United States),58900,94900,49
Architectural Studies,50900,94800,38
Communication,54800,94800,46
Personnel Management,57900,94800,68
General Business,56300,94700,51
Interior Architecture,53500,94700,48
Public Affairs,59400,94700,52
Natural Sciences,49500,94700,54
Writing,49900,94600,44
Human Biology,57400,94500,72
Marketing & Mass Communications,53700,94500,40
Computer Art,44600,94500,33
French Language,56100,94100,48
Journalism,52300,94100,44
Interpersonal & Organizational Communication,47500,94000,72
Organizational Communication,52400,94000,48
Textile Design,56200,94000,36
Biology & Chemistry,55700,93900,66
Nursing,73100,93900,82
Public Relations & Communication,51700,93900,48
Environmental & Natural Resource Economics,58600,93700,66
Biology,53500,93600,65
Environmental Management,57500,93600,63
General & Strategic Management,56800,93600,52
Bachelor in Science Nursing,73700,93400,80
History,54300,93400,47
Literature,53200,93300,45
Law,59900,93200,51
Physiology,55500,93100,66
Entrepreneurial Studies,54800,93000,32
Public Relations (PR),51800,93000,43
Retail Management,60400,93000,39
Computer Aided Drafting & Design (CADD),56300,92900,49
Management & Organization,78600,92900,55
Agriculture,53600,92900,62
Music Technology,50900,92900,38
Administration of Justice,51300,92800,53
Publishing,52000,92800,40
Urban Studies,57700,92800,60
Media Studies,57000,92700,38
Apparel & Textile Manufacture,54200,92600,31
Philosophy & Religion,51300,92600,54
Environmental Geography,55900,92500,54
Communication Studies & Journalism,51200,92300,46
Interpersonal Communications,50200,92300,48
Logistics Management,66000,92300,38
Retail & Consumer Science,58800,92300,27
Web Design & Development,60100,92300,44
Accounting & Business,58700,92200,49
Architectural Technology,55700,92200,62
Geographic Information Systems (GIS),56100,92200,53
Environmental Studies,55000,92100,59
Interactive Media,61300,92100,39
Retail Merchandising,59000,91900,36
Diagnostic Medical Sonography,71700,91800,86
Agricultural Business,61400,91600,58
Network Administration,54400,91600,54
Environmental Biology,50500,91300,69
Dental Hygiene,81200,91300,81
Journalism & Electronic Media,51400,91200,46
Web & Digital Media Development,60400,91200,35
Workforce Education & Development,67100,91200,73
Diagnostic Medical Ultrasound,73800,91100,71
Health Policy & Administration,57300,91100,63
Quality Management,66000,90800,62
Bachelor of Science in Nursing,72000,90700,85
Speech Communication,53300,90700,56
Retailing,56700,90500,33
Visual Effects & Motion Graphics,54100,90500,38
Foreign Languages,55600,90300,54
Landscape Architecture,58700,90200,65
Global Studies,58100,90100,47
American Sign Language Interpreting,49400,89900,87
Spanish Language Teacher Education,55100,89900,
Technical & Scientific Communication,57000,89800,35
Broadcast & Cinematic Arts,48000,89700,41
Computer Animation,52800,89600,41
Geography,56200,89600,52
Environmental Resource Management,54100,89500,64
Fashion,54900,89500,39
Film Studies,51000,89500,41
Forestry,52800,89500,68
Business Leadership,56800,89300,43
Nursing Education,76300,89300,
English Language,50900,89100,47
Ancient History,51700,89000,
Botany,48700,89000,71
Geosciences,55100,89000,62
Computer Aided Design (CAD),54700,88900,
Digital Arts,50800,88900,36
Leadership,53700,88700,55
Automotive Technology & Service Management,59300,88600,29
Business Management & Administration,58500,88600,53
Business Management & Human Resources Management (HRM),54600,88600,
Human Resources Management (HRM),54300,88600,55
Radio/Television & Film Production,51200,88600,40
Allied Health,49900,88500,77
English Language & Literature,52200,88500,44
Marine Biology,48500,88400,64
Security Management,53900,88400,
Organizational Leadership,56600,88300,57
Public Administration,53000,88300,57
Forestry Management,54600,88200,67
Management (MGT),52300,88200,
Merchandising Management,53500,88100,48
Administrative Management,59100,88000,47
Spanish Language,54300,88000,49
Sports Management,51200,88000,43
Arts Management,45200,87900,48
Homeland Security,55300,87900,71
Electronic Media,50700,87900,37
3D Animation,56900,87800,42
Film Production,50500,87800,37
Marine Science,51800,87600,61
Information & Communication Technology,53700,87500,54
Mass Communication,50700,87500,45
Museum Studies,42800,87500,37
Technical Writing,63300,87500,37
Religious Studies,50700,87400,52
Travel Industry Management,58700,87400,
Art History,53400,87200,44
Fashion Merchandising,53300,87200,30
Nuclear Medicine Technology,68800,87200,81
Marketing & Advertising,55400,87100,45
Musicology,48100,87000,
Broadcast Journalism,49800,86800,52
Animation,50900,86700,35
Historic Preservation,48300,86600,
Music Performance,51700,86600,56
Organizational Leadership & Supervision,54600,86600,53
Multimedia,50400,86500,45
Business Technology,59200,86400,51
Radiologic Science,64000,86400,80
Human Nutrition,55100,86400,82
Acting,50400,86400,48
Liberal Arts,51400,86300,52
Apparel Merchandising,53900,86200,34
German Language & Literature,56400,86200,44
Organizational Management,55500,86200,60
Zoology,46800,86100,66
Creative Writing,51200,85900,41
Geomatics,57800,85800,67
Law Enforcement,52800,85700,62
Administration,49200,85600,59
Cytotechnology,66800,85600,86
Fashion Marketing & Management,54400,85600,27
Applied Management,49800,85400,61
Management & Leadership,59500,85400,56
Human Resources (HR),53800,85300,55
Animal Science & Management,51500,85200,61
Adult Education & Training,55200,85100,78
Agricultural Communication,51300,84900,49
Health & Fitness,44100,84900,71
Criminal Justice Administration,51900,84800,61
Emergency Management,58100,84800,77
Media Arts,51300,84800,33
Sociology & Anthropology,51200,84800,53
Radiology,62300,84800,81
Communication Design,58500,84700,34
Earth Science,56800,84700,52
Modern Languages,57700,84700,55
Training and Development,59600,84700,
Hospital Administration,59800,84400,53
Human Relations,51100,84400,63
Natural Resources,54200,84300,58
Ethnic Studies,54500,84200,62
Hotel & Restaurant Management,54200,84200,49
Broadcast Communication,45900,83800,45
Mass Media,45800,83800,45
Advertising & Graphic Design,53000,83700,39
Radiologic Technology,62000,83700,81
Merchandising,59300,83600,32
Romance Languages,57400,83600,55
Environmental Health Science,61500,83500,
Criminology,50700,83400,54
Psychology,51000,83400,56
Cardiopulmonary Science,56500,83200,92
Labor Studies,53700,83200,51
Medical Laboratory Technology,64300,83000,83
Visual Communications,51200,83000,34
Audio Engineering,53800,82800,40
Middle Eastern Studies,65300,82700,47
Health,49600,82700,70
Hospitality Management,53100,82600,43
Health Care Management,51700,82600,75
Painting & Printmaking,39300,82600,46
Multimedia & Web Design,55700,82500,31
Health Administration,48700,82400,66
Natural Resource Management,52800,82400,54
Psychology & Social Behavior,51100,82400,58
Communication Management,51700,82300,45
Health Sciences,50700,82300,70
Nutrition Science,57100,82300,67
Web Design,53900,82300,29
Health Management,50400,82200,70
Life Sciences,59700,82200,60
Anthropology,53200,82100,47
Music,51000,82100,55
Ecology,53200,82000,59
Human Resources Development,55200,82000,51
SocialStudies,52700,82000,56
New Media,51600,81900,37
Psychiatry,64300,81900,50
Sociology,52800,81800,55
Health Care Administration,52100,81600,68
Interior Design,51300,81500,51
Respiratory Care,61800,81500,85
Health Information Management,55000,81300,68
Art & Design,51100,81300,39
Child Psychology,48400,81100,62
Clinical Laboratory Science,61700,81000,82
Diagnostic Medical Imaging,68300,81000,73
Humanities,55900,81000,54
Medical Laboratory Science,62700,81000,86
Theater,51200,81000,49
Kinesiology,51100,80900,66
Exercise Physiology,49100,80800,75
Forensic Accounting,51900,80800,44
Secondary Education,50700,80800,58
Multidisciplinary Studies,49600,80700,52
Archaeology,51100,80500,45
Communication Arts,47800,80500,40
Arts & Science,51700,80400,
Illustration,51300,80400,38
Sustainability,54900,80400,58
Hotel & Restaurant Tourism,48900,80300,
Radiography,62400,80300,83
Media Communication,53000,80200,44
Respiratory Therapy,61800,80200,83
Applied Behavior Analysis,43400,80000,88
Technology Teacher Education,54000,79800,
Professional Studies,47500,79300,67
Communications Technology,52500,79200,32
Biological Anthropology,52200,79000,46
Art Therapy,46100,79000,84
Commercial Photography,48900,79000,28
Liberal Studies,51000,78900,56
Radio & Television,49000,78900,40
Nutrition,52800,78600,65
Plant Sciences,55500,78400,57
Graphic Design,51300,78300,38
Legal Studies,53300,78200,52
Nutrition & Dietetics,57200,78200,71
Turfgrass Management,53300,78100,38
Dietetics,57500,78000,74
